Plot_Name,Easting,Northing,Altitude,Bare_Ground,Cheatgrass
CC-A12-7,1367474.389,654827.4946,525,30,0
CLR-A3-1,1366038.086,654416.2651,431,0,0
CLR-A3-2,1366088.838,654312.2676,391,15,0
CLR-A3-3,1366059.239,654304.5076,394,0,0
CLR-A3-4,1365808.266,654191.1542,371,5,0
CLR-A3-5,1365798.892,654135.0922,369,2,0
CLR-A6-1,1365635.043,653966.7541,335,0,15
CLR-A6-2,1365634.921,653930.9093,332,0,30
CLR-A6-3,1365654.784,653896.1982,338,0,10
CLR-A6-4,1365705.39,653903.7134,342,25,15
CLR-A6-5,1365718.561,653960.0541,349,25,25
CLR-A6-6,1365721.083,653925.7433,349,12,25
CLR-A6-7,1365784.305,653923.1344,346,5,0
CLR-A1-1,1365278.304,654808.4256,628,15,0
CLR-A1-2,1365275.697,654792.9396,628,0,30
CLR-A1-3,1365314.591,654769.3374,616,0,0
CLR-A1-4,1365330.809,654739.9394,607,15,80
CLR-A1-5,1365331.341,654747.1234,611,70,30
CLR-A1-6,1365364.171,654784.9241,598,30,0
CLR-A2-1,1365149.944,654545.5825,615,5,0
CLR-A2-2,1365165.852,654512.7005,610,15,30
CLR-A2-3,1365178.492,654508.9396,607,35,0
CLR-A2-4,1364988.005,654402.1892,587,15,55
CLR-A2-5,1365001.49,654364.7751,572,10,20
CLR-A5-1,1364629.732,654435.8661,584,15,0
CLR-A7b-1,1364767.853,653603.2441,334,0,0
CLR-A7b-2,1364767.885,653573.8861,346,0,20
CLR-A7-1,1363351.082,654378.1475,864,50,10
CLR-A7-2,1363348.225,654365.9939,867,85,35
CLR-A7-3,1363368.065,654315.8675,855,0,0
CLR-A7-4,1363378.409,654329.0145,856,0,0
CLR-A7-5,1363396.976,654310.8346,850,0,0
CLR-A7-6,1363390.819,654306.1427,849,0,50
SC-A3-1,1362311.793,653372.6708,683,40,0
SC-A3-2,1362447.815,653370.7439,690,6,20
SC-A3-3,1362494.88,653479.3303,712,0,2
SC-A6-1,1363235.674,653094.2988,484,10,0
SC-A6-2,1363363.315,653067.0017,454,10,12
SC-A6-3,1363568.547,653062.0096,428,15,13
SC-A6-4,1363614.757,653049.534,421,2,30
SC-A6-5,1363636.958,653003.9351,405,2,85
SC-A6-6,1363489.783,652877.7535,368,8,20
SC-A6-7,1363420.768,652700.2394,344,20,5
SC-A6-8,1363356.978,652621.4571,348,0,50
SC-A7-1,1362962.65,653489.0943,631,0,15
SC-A7-2,1363031.305,653464.2967,635,10,0
SC-A8-1,1362592.536,653404.6189,663,5,0
SC-A8-2,1362689.93,653384.9251,632,10,0
SC-A8-3,1362709.906,653384.2601,629,8,5
SC-A8-4,1362809.385,653431.9237,618,45,0
SC-A8-5,1362834.244,653445.6811,619,85,0
SC-A8-6,1362867.781,653480.9469,623,0,0
SC-A8-7,1362924.596,653367.5407,602,7,10
SC-A8-8,1362791.375,653257.3561,582,12,0
SC-A8-9,1362768.32,653041.4519,535,12,20
SC-A8-10,1362965.178,653520.3128,529,3,15
SC-A9-1,1362284.963,652386.126,379,15,7
SC-A9-2,1362281.496,652359.9752,396,12,1
SC-A9-3,1362272.413,652409.9945,432,10,25
SC-A9-4,1362268.081,652440.3777,445,15,1
SC-A9-5,1362253.474,652544.9176,486,40,4
SC-A9-6,1362440.267,652297.412,393,25,0
SC-A9-7,1362433.738,652305.5322,394,10,30
SC-A9-8,1362408.839,652299.0305,395,10,60
SC-A9-9,1362404.542,652276.5031,392,5,75
SC-A9-10,1362532.139,652442.0798,430,25,5
SC-A9-11,1362555.199,652443.7596,428,15,70
SC-A9-12,1362595.162,652443.3221,423,0,60
SC-A9-13,1362598.275,652407.3803,415,15,10
SC-A9-14,1362604.522,652396.3373,412,35,3
SC-A9-15,1362488.779,652423.1814,429,0,0
SC-A10-1,1362368.304,652722.7339,516,25,0
SC-A10-2,1362327.8,652826.7278,550,20,1
SC-A10-3,1362258.026,652837.7231,571,65,0
SC-A10-4,1362199.839,652874.01,599,70,3
SC-A10-5,1362177.341,653034.5733,636,15,5
SC-A10-6,1362237.554,653245.1402,660,66,0
SC-A10-7,1362260.337,653316.5689,665,40,0
A1-1,1360889.583,652005.8996,443,5,5
A1-2,1360905.13,652118.9903,488,0,2
A1-3,1360906.563,652128.471,491,0,0
A1-4,1360938.007,652274.7522,563,35,0
A1-5,1360932.309,652293.874,560,0,0
A1-6,1360895.431,652334.6233,558,0,0
A1-7,1360826.894,652401.6545,579,0,0
A1-8,1360794.596,652453.3413,597,5,0
A1-9,1360759.243,652472.0996,605,0,35
A1-10,1362313.596,652585.0162,606,0,2
A1-11,1360764.561,652480.634,606,15,20
A1-12,1360742.23,652558.6067,616,10,0
A1-13,1360756.59,652598.3829,638,10,2
A1-14,1360784.827,652699.2215,674,2,0
A1-15,1360777.996,652711.5636,679,0,1
A1-16,1360888.396,652765.8946,693,0,0
A1-17,1360935.063,652731.4366,693,0,0
A1-18,1360940.321,652547.8529,625,20,0
A1-19,1360933.67,652512.8772,625,0,20
A1-20,1360910.283,652493.3205,628,0,25
A1-21,1360887.94,652489.5792,630,0,5
A1-22,1360888.259,652388.6898,575,0,15
A1-23,1361092.913,651960.2557,451,0,0
A1-24,1361135.371,651917.6799,446,0,5
A1-25,1361023.169,651918.1357,426,40,5
A1-26,1360986.072,651924.8218,428,20,0
A1-27,1360951.156,651833.2103,421,0,40
A1-28,1360880.648,651876.6559,427,0,30
HG-A2-1,1360011.131,653459.5299,760,5,10
HG-A2-2,1359862.156,653395.5066,751,4,15
HG-A2-3,1359818.219,653391.4362,743,5,20
HG-A2-4,1359765.622,653306.8141,746,3,15
HG-A2-5,1359768.658,653092.819,709,20,15
HG-A2-6,1359852.197,653138.4875,728,0,0
HG-A2-7,1359865.267,653181.5165,717,35,15
HG-A3-1,1359837.06,652624.6858,590,25,0
HG-A3-2,1359874.744,652617.5875,592,15,0
HG-A3-3,1359901.44,652620.7459,594,8,10
HG-A3-4,1359932.903,652610.7424,595,8,0
HG-A3-5,1359982.537,652640.6766,600,2,0
HG-A3-6,1360002.492,652654.9572,605,20,50
HG-A3-7,1360092.951,652716.4227,605,25,0
HG-A3-8,1360120.998,652731.1778,605,15,0
HG-A3-9,1360184.288,652728.614,606,15,5
HG-A3-10,1360234.283,653043.453,671,20,0
HG-A4-1,1360768.954,651847.6844,449,10,10
HG-A4-2,1360751.653,651863.0631,454,2,0
HG-A4-3,1360720.537,651853.5521,453,30,0
HG-A12-1,1359845.677,651379.3306,462,15,40
HG-A12-2,1359804.146,651378.8959,459,0,80
HG-A12-3,1359803.888,651374.6355,458,0,20
HG-A12-4,1359791.237,651370.7072,457,3,85
HG-A6-1,1359403.561,651907.7509,471,17,3
HG-A6-2,1359438.361,651874.097,469,5,10
HG-A6-3,1359856.25,652254.6892,493,65,0
HG-A6-4,1359849.152,652188.6509,490,60,0
HG-A6-5,1359851.096,652169.5915,488,75,0
HG-A6-6,1359868.921,652131.2528,486,12,28
HG-A6-7,1359874.471,652121.9425,485,25,90
HG-A6-8,1359818.05,652111.5006,475,0,90
HG-A6-9,1359552.052,651882.3085,470,95,0
HG-A6-10,1359554.457,651916.5282,471,50,0
HG-A6-11,1359557.313,651914.1671,470,5,10
HG-A6-12,1359515.338,651927.7674,471,0,40
HG-A7-1,1359023.674,652128.255,536,47,0
HG-A7-2,1359000.1,652156.247,540,70,20
HG-A7-3,1358810.968,652281.9171,543,15,30
HG-A7-4,1358736.176,652219.485,541,0,15
HG-A7-5,1358878.65,652031.2862,517,10,15
HG-A7-6,1358877.747,652006.5519,515,25,10
HG-A7-7,1358872.352,651991.2051,514,85,2
HG-A7-8,1358879.433,651967.493,512,20,10
HG-A7-9,1358884.335,651929.8938,506,10,6
HG-A10a-1,1359387.36,651497.8078,467,0,45
HG-A10a-2,1359386.514,651524.202,469,0,20
HG-A10a-3,1359389.769,651538.8366,476,0,0
HG-A10a-4,1359385.426,651576.4757,497,0,0
HG-A10a-5,1359370.723,651600.9764,504,0,0
HG-A10a-6,1359305.733,651620.061,505,0,60
HG-A10a-7,1359292.207,651620.4242,502,10,3
HG-A10a-8,1359277.682,651589.5718,489,0,70
HG-A10a-9,1359924.153,651597.0941,471,0,70
HG-A10a-10,1359111.972,651517.5597,469,40,0
HG-A10a-11,1359082.1,651513.2838,469,0,80
HG-A10a-12,1359061.611,651505.3316,467,30,5
HG-A10a-13,1359056.964,651495.285,467,0,60
HG-A10a-14,1359117.813,651436.6064,463,0,90
HG-A10a-15,1359137.901,651419.7492,462,0,40
HG-A10a-16,1359200.763,651407.6528,463,0,50
HG-A10a-17,1359226.749,651413.8814,464,10,30
HG-A10a-18,1359243.173,651418.4154,464,0,70
HG-A10a-19,1359263.937,651421.5883,465,0,60
HG-A10a-20,1359313.786,651440.9255,464,55,20
HG-A10a-21,1359361.143,651464.4366,463,15,60
HG-A1-1,1359684.764,652769.5083,616,3,60
HG-A1-2,1359687.74,652765.4816,615,5,0
HG-A1-3,1359696.563,652755.8495,616,10,40
HG-A1-4,1359706.763,652740.8473,614,10,0
HG-A1-5,1359729.823,652713.1561,612,2,55
HG-A1-6,1359768.456,652663.5955,597,15,0
HG-A1-7,1359631.779,652906.218,629,10,3
HG-A1-8,1359631.779,652906.218,629,10,0
HG-A1-10,1359542.288,652987.8257,644,60,0
HG-A1-11,1359524.499,652972.9218,633,0,50
HG-A8-1,1359464.182,653263.0382,611,3,90
HG-A8-2,1359468.786,652886.2928,609,90,0
HG-A8-3,1359462.252,652879.9045,607,0,50
HG-A8-4,1359469.771,652857.0059,604,25,0
HG-A8-5,1359479.828,652822.4581,603,65,0
HG-A13-1,1358876.993,651852.3431,495,12,2
HG-A13-2,1358951.062,651857.2376,508,40,0
HG-A13-3,1359012.798,651868.4993,514,0,20
HG-A13-4,1359043.863,651833.6804,516,5,25
