,LAT,LNG,ALT,BARE_GROUND
SC-A6-2,50.773102,-120.839912,454,10
SC-A6-3,50.772923,-120.837013,428,15
SC-A6-4,50.772781,-120.836372,421,2
SC-A6-5,50.772358,-120.836105,405,2
SC-A6-6,50.771324,-120.838318,368,8
SC-A6-7,50.769779,-120.839478,344,20
SC-A6-8,50.769115,-120.840462,348,
SC-A7-1,50.777145,-120.845146,631,
SC-A7-2,50.776878,-120.8442,635,10
SC-A8-1,50.77663,-120.850471,663,5
SC-A8-2,50.77639,-120.849113,632,10
SC-A8-3,50.776371,-120.848831,629,8
SC-A8-4,50.776733,-120.847374,618,45
SC-A8-5,50.77684,-120.847008,619,85
SC-A8-6,50.777134,-120.846497,623,
SC-A8-7,50.776081,-120.84581,602,7
SC-A8-8,50.775181,-120.847809,582,12
SC-A8-9,50.773262,-120.848358,535,12
SC-A8-10,50.777423,-120.845078,529,3
SC-A9-1,50.767707,-120.855873,379,15
SC-A9-2,50.767475,-120.855949,396,12
